grid,basisofrecord,n_cells,pct_stale_12m,pct_stale_5y,median_staleness_months
grid10km,all,7693,36.25,23.46,4
grid10km,fossilSpecimen,263,100,99.62,1148
grid10km,humanObservation,6303,22.26,8.46,3
grid10km,livingSpecimen,469,100,99.15,269
grid10km,machineObservation,1451,97.45,50.17,63
grid10km,materialCitation,253,100,99.21,199
grid10km,materialSample,3565,97.78,64.04,86
grid10km,observation,38,100,100,403
grid10km,occurrence,1339,99.55,97.98,1075
grid10km,preservedSpecimen,6442,82.61,50.06,62
grid50km,all,926,69.98,42.98,43
grid50km,fossilSpecimen,105,100,99.05,967
grid50km,humanObservation,592,53.04,13.51,18
grid50km,livingSpecimen,167,100,98.2,245
grid50km,machineObservation,224,90.18,28.12,31
grid50km,materialCitation,109,100,98.17,149
grid50km,materialSample,300,81.67,15.33,28
grid50km,observation,24,100,100,468.5
grid50km,occurrence,351,98.29,94.3,967
grid50km,preservedSpecimen,654,70.95,63,449
